BAND,LOWER_POLITICAL,UPPER_POLITICAL,COUNTRY,ORIGIN_YEAR
Descendents,Manhattan Beach,California,USA,1978
Destroy!,Minneapolis,Minnesota,USA,1988
Devo,Akron,Ohio,USA,1972
The Devotchkas,Long Island York,New York,USA,1996
Dexter Danger,San Francisco,California,USA,2000
D.I.,Orange County,California,USA,1982
The Dicks,Austin,Texas,USA,1982
The Dickies,San Fernando Valley Angeles,California,USA,1977
The Dictators,New York,New York,USA,1973
DieMonsterDie,Salt Lake City,Utah,USA,1995
The Diffs,Los Angeles,California,USA,2003
Dillinger Four,Minneapolis,Minnesota,USA,1994
The Dils,Carlsbad,California,USA,1977
Dirty Rotten Imbeciles,Houston,Texas,USA,1982
Discount,Vero Beach,Florida,USA,1995
Disrupt,Boston,Massachusetts,USA,1987
The Distillers,Los Angeles,California,USA,1998
DMZ,Boston,Massachusetts,USA,1976
Dog Eat Dog,Bergen County,New Jersey,USA,1990
Doggy Style,Fullerton,California,USA,1983
Dogwood,Escondido,California,USA,1993
Down by Law,Los Angeles,California,USA,1990
downset.,Los Angeles,California,USA,1989
The Draft,Gainesville,Florida,USA,2006
Dresden 45,Houston,Texas,USA,1985
The Effigies,Chicago,Illinois,USA,1980
Electric Eels,Cleveland,Ohio,USA,1972
Electric Frankenstein,Whippany,New Jersey,USA,1991
Eleventyseven,Laurens,South Carolina,USA,2002
Embers,Oakland,California,USA,2004
Embrace,Washington,D.C.,USA,1985
Embrace Today,Boston,Massachusetts,USA,1998
Endpoint,Louisville,Kentucky,USA,1988
Enemy You,San Francisco,California,USA,1997
Ensign,New Brunswick,New Jersey,USA,1995
The Ergs!,South Amboy,New Jersey,USA,2000
Eve 6,La Crescenta-Montrose,California,USA,1995
Excuse 17,Olympia,Washington,USA,1993
The Explosion,Boston,Massachusetts,USA,1998
The Eyeliners,Albuquerque,New Mexico,USA,1995
Fabulous Disaster,San Francisco,California,USA,1998
Face to Face,Victorville,California,USA,1991
The Faction,San Jose,California,USA,1982
Fairweather,Fairfax,Virginia,USA,1999
The Falcon,Chicago,Illinois,USA,2004
Fear,Los Angeles,California,USA,1977
Fenix TX,Houston,Texas,USA,1995
Fiasco,Brooklyn,New York,USA,2005
Fifteen,Berkeley,California,USA,1991
Figures of Light,New Brunswick,New Jersey,USA,1970
Filth,San Francisco,California,USA,1989
Filthy Thieving Bastards,Oakland,California,USA,2000
Final Conflict,Long Beach,California,USA,1983
Fit For Rivals,Jacksonville,Florida,USA,2006
Fitz of Depression,Tumwater,Washington,USA,1987
Five Iron Frenzy,Denver,Colorado,USA,1995
Flatfoot 56,Chicago,Illinois,USA,2000
The Flesh Eaters,Los Angeles,California,USA,1977
Fleshies,Oakland,California,USA,1999
Flipper,San Francisco,California,USA,1979
Flogging Molly,Los Angeles,California,USA,1997
F-Minus,Huntington Beach,California,USA,1995
forgetters,Brooklyn,New York,USA,2009
Four Walls Falling,Richmond,Virginia,USA,1983
Four Year Strong,Worcester,Massachusetts,USA,2001
Frankenstein Drag Queens from Planet 13,Landis,North Carolina,USA,1996
The Freeze,Cape Cod,Massachusetts,USA,1978
The Frisk,Berkeley,California,USA,2000
Frodus,Washington,D.C.,USA,1993
From Ashes Rise,Nashville,Tennessee,USA,1997
The Frustrators,Wrentham,Massachusetts,USA,1999
The F.U.'s,Boston,Massachusetts,USA,1982
Fuel,San Francisco,California,USA,1989
Fugazi,Washington,D.C.,USA,1987
F.Y.P,Torrance,California,USA,1989
Gang Green,Boston,Massachusetts,USA,1981
