BAND,LOWER_POLITICAL,UPPER_POLITICAL,COUNTRY,ORIGIN_YEAR
Smoking Popes,Lake in the Hills,Illinois,USA,1991
Smut Peddlers,Redondo Beach,California,USA,1993
Snapcase,Buffalo,New York,USA,1991
Snot,Santa Barbara,California,USA,1995
Social Distortion,Orange County,California,USA,1978
Some Girls,San Diego,California,USA,2002
Sonic's Rendezvous Band,Ann Arbor,Michigan,USA,1975
Son of Sam,Los Angeles,California,USA,2000
The Soviettes,Minneapolis,Minnesota,USA,2000
Spazz,Redwood City,California,USA,1992
Spitboy,San Francisco,California,USA,1990
The Spits,Seattle,Washington,USA,2000
Split Lip,Indianapolis,Indiana,USA,1990
Squirrel Bait,Louisville,Kentucky,USA,1983
Squirtgun,Lafayette,Indiana,USA,1993
SSD,Boston,Massachusetts,USA,1981
Star Fucking Hipsters,New York City,New York,USA,2005
State of Alert,Washington D.C.,,USA,1980
Stellar West,Naperville,Illinois,USA,2014
The Stooges,Ann Arbor,Michigan,USA,1967
Story Of The Year,St. Louis,Missouri,USA,2000
Straight Faced,Huntington Beach,California,USA,1992
Stray from the Path,New York City,New York,USA,2001
Street Dogs,Boston,Massachusetts,USA,2002
Streetlight Manifesto,East Brunswick,New Jersey,USA,2002
Stretch Arm Strong,Columbia,South Carolina,USA,1992
Strife,Los Angeles,California,USA,1991
Strike Anywhere,Richmond,Virginia,USA,1999
Strike Under,Chicago,Illinois,USA,1979
Strongarm,Pompano Beach,Florida,USA,1993
Strongarm and the Bullies,Los Angeles,California,USA,1998
Strung Out,Simi Valley,California,USA,1989
Sublime,Long Beach,California,USA,1988
Sublime with Rome,Long Beach,California,USA,2009
Suburban Lawns,Long Beach,California,USA,1978
Suburban Rhythm,Long Beach,California,USA,1990
Suicide City,New York City,New York,USA,2005
The Suicide Commandos,Minneapolis,Minnesota,USA,1975
The Suicide File,Boston,Massachusetts,USA,2001
The Suicide Machines,Detroit,Michigan,USA,1991
Suicidal Tendencies,Venice,California,USA,1981
Sugarcult,Santa Barbara,California,USA,1998
Super Heroines,Los Angeles,California,USA,1981
Superchick,Chicago,Illinois,USA,1999
Superjoint,New Orleans,Louisiana,USA,1993
Supernova,Costa Mesa,California,USA,1989
Swing Kids,San Diego,California,USA,1994
Swingin' Utters,Santa Cruz,California,USA,1988
Swiz,Washington,D.C.,USA,1987
Sworn Enemy,New York,New York,USA,1997
Symbol Six,Los Angeles,California,USA,1980
Taking Back Sunday,Long Island,New York,USA,1999
Tales of Terror,Sacramento,California,USA,1982
Tarakany!,Moscow,Michigan,USA,1991
Team Dresch,Olympia,Washington,USA,1993
Teenage Bottlerocket,Laramie,Wyoming,USA,2001
The Teen Idles,Washington,D.C.,USA,1979
Teen Idols,Nashville,Tennessee,USA,1992
Television,New York City,New York,USA,1973
Ten Foot Pole,Simi Valley,California,USA,1993
Ten Yard Fight,Boston,Massachusetts,USA,1995
Tex & the Horseheads,Los Angeles,California,USA,1980
This Bike Is a Pipe Bomb,Pensacola,Florida,USA,1997
This Is Hell,New York City,New York,USA,2004
The Thorns of Life,New York,New York,USA,2008
Thought Riot,Modesto,California,USA,1997
Three Dollar Bill,Chicago,Illinois,USA,1998
Thrice,Irvine,California,USA,1998
Throwdown,Orange County,California,USA,1997
The Thumbs,Baltimore,Maryland,USA,1995
Thundering Asteroids!,Portland,Oregon,USA,2009
Tiger Army,Berkeley,California,USA,1995
Tijuana Sweetheart,Boston,Massachusetts,USA,2005
Tilt,San Francisco,California,USA,1992
Time Again,Los Angeles,California,USA,2004
Title Fight,Kingston,Pennsylvania,USA,2003
Titus Andronicus,Glen Rock,New Jersey,USA,2005
The Toasters,New York,New York,USA,1981
Too Rude,Hermosa Beach,California,USA,2000
Total Chaos,Pomona Valley,California,USA,1989
Touché Amoré,Los Angeles,California,USA,2007
Toxic Narcotic,Boston,Massachusetts,USA,1989
Toxic Reasons,Dayton,Ohio,USA,1979
Toys That Kill,Los Angeles,California,USA,1999
Tragedy,Memphis,Tennessee,USA,2000
Transplants,Los Angeles,California,USA,1999
Trap Them,Salem,New Hampshire,USA,2001
Trashlight Vision,Philadelphia,Pennsylvania,USA,2004
Trash Talk,Sacramento,California,USA,2005
The Trashwomen,San Francisco,California,USA,1991
Tribe 8,San Francisco,California,USA,1995
Tripface,New York City,New York,USA,1993
T.S.O.L.,Long Beach,California,USA,1979
Tsunami Bomb,Petaluma,California,USA,1998
Tuesday,Chicago,Illinois,USA,1996
Turning Point,Moorestown,New Jersey,USA,1988
Two Man Advantage,Long Island,New York,USA,1997
The U-Men,Seattle,Washington,USA,1981
Unbroken,San Diego,California,USA,1991
The Undead,New Milford,New Jersey,USA,1980
The Units,San Francisco,California,USA,1978
Unsane,New York City,New York,USA,1988
The Unseen,Hingham,Massachusetts,USA,1993
Untouchables,Washington D.C.,,USA,1979
Unwritten Law,San Diego,California,USA,1990
Urban Waste,New York City,New York,USA,1981
Urinals,Los Angeles,California,USA,1978
U.S. Bombs,Huntington Beach,California,USA,1993
The Used,Orem,Utah,USA,2004
The Vandals,Huntington Beach,California,USA,1980
Vatican Commandos,Darien,Connecticut,USA,1982
Venomous Concept,New York City,New York,USA,1989
Verbal Abuse,San Francisco,California,USA,1981
Verse,Providence,Rhode Island,USA,2003
Victims of Circumstance,Clearwater,Florida,USA,2007
The Vindictives,Chicago,Illinois,USA,1991
The Virus,Philadelphia,Pennsylvania,USA,1998
Virus Nine,Medford,Oregon,USA,1996
Violent Femmes,Milwaukee,Wisconsin,USA,1980
Vision of Disorder,Long Island,New York City,USA,1992
Richard Hell and the Voidoids,New York City,New York,USA,1976
Voodoo Glow Skulls,Riverside,California,USA,1988
Void,Washington,D.C.,USA,1979
Warzone,New York City,New York,USA,1982
Wasted Youth,Los Angeles,California,USA,1981
Wayne County & the Electric Chairs,New York City,New York,USA,1976
Wavves,Los Angeles,California,USA,2008
Wednesday 13,Charlotte,North Carolina,USA,1992
The Weirdos,Los Angeles,California,USA,1976
Westbound Train,Boston,Massachusetts,USA,2001
Western Addiction,San Francisco,California,USA,2003
Weezer,Los Angeles,California,USA,1992
The Wedding,Fayetteville,Arkansas,USA,2003
White Flag,Inland Empire,California,USA,1982
The White Stripes,Detroit,Michigan,USA,1997
White Trash Debutantes,San Francisco,California,USA,1989
Whole Wheat Bread,Jacksonville,Florida,USA,2003
A Wilhelm Scream,New Bedford,Massachusetts,USA,1996
The Wipers,Portland,Oregon,USA,1977
Wisdom In Chains,Stroudsburg,Pennsylvania,USA,2002
The Wonder Years,Lansdale,Pennsylvania,USA,2005
World Burns to Death,Austin,Texas,USA,2000
The World/Inferno Friendship Society,Brooklyn,New York,USA,1996
Wrangler Brutes,Los Angeles,California,USA,2003
The Wynona Riders,San Francisco,California,USA,1988
X,Los Angeles,California,USA,1977
xDISCIPLEx A.D.,Erie,Pennsylvania,USA,1995
X-Pistols,Placentia,California,USA,2010
Yeah Yeah Yeahs,New York City,New York,USA,2000
Yellowcard,Jacksonville,Florida,USA,1997
Youngblood Brass Band,Madison,Wisconsin,USA,1997
The Young and the Useless,New York City,New York,USA,1980
Young Werewolves,Philadelphia,Pennsylvania,USA,2002
Your Heart Breaks,Bellingham,Washington,USA,1999
Youth Brigade,Los Angeles,California,USA,1980
Youth Brigade,Washington,D.C.,USA,1981
Youth Defense League,New York City,New York,USA,1986
Youth Gone Mad,New York,New York,USA,1980
Youth of Today,New York City,New York,USA,1985
The Yuppie Pricks,Austin,Texas,USA,1999
Zebrahead,La Habra,California,USA,1996
Zegota,Greensboro,North Carolina,USA,1997
Zeke,Seattle,Washington,USA,1993
The Zeros,Chula Vista,California,USA,1976
Zero Boys,Indianapolis,Indiana,USA,1979
