742	pray
742	died
740	across
739	choose
738	lord
738	job
738	grave
736	telling
736	lying
735	realize
734	write
732	phone
730	drop
728	reach
728	destroy
727	band
727	ahead
725	within
725	poor
725	ourselves
725	christmas
724	singing
722	violence
721	breaking
720	shoot
720	saying
720	doubt
717	choice
716	moving
716	here's
713	lines
703	hole
702	they've
702	summer
699	father
694	lips
694	darkness
691	stick
690	worst
689	mistakes
687	somehow
687	plan
684	hanging
684	everywhere
684	awake
679	feelings
678	silence
678	pretend
678	piece
677	few
676	haven't
676	almost
673	escape
672	youth
672	memory
671	star
669	reality
665	bomb
664	space
663	moon
662	needs
662	least
662	glass
661	walked
661	swear
661	machine
661	knife
659	send
659	mom
659	fate
658	ends
657	yours
657	wear
657	sitting
656	one's
656	longer
656	goin'
655	strength
652	kept
652	dear
649	price
647	turns
647	others
646	yesterday
646	proud
645	shout
644	starts
644	crying
644	belong
641	filled
638	we'd
633	ten
632	luck
632	life's
632	built
630	fill
629	mad
628	window
628	system
626	sign
626	shine
625	class
619	spend
616	na
611	news
609	regret
609	given
608	sin
608	bitch
607	path
606	happened
606	five
601	prove
601	build
600	train
598	slowly
598	edge
597	single
596	question
596	jump
596	bones
595	holy
594	wasting
594	ugly
594	strange
594	problem
593	murder
593	devil
592	six
592	ok
592	hello
592	crime
591	sell
589	sex
589	history
588	held
588	ago
587	searching
587	honey
587	faces
586	trouble
585	society
583	happen
583	check
582	revolution
582	having
581	simple
580	wide
579	stare
579	picture
579	growing
579	country
578	stone
577	number
575	crowd
573	outta
573	jesus
573	comin'
572	gimme
569	cross
567	locked
565	hurts
564	raise
563	worse
563	weight
562	rich
561	heads
561	begin
559	weak
559	staring
559	near
559	fit
559	dry
559	count
558	child
554	x2
554	ring
554	it'll
552	slip
552	respect
551	america
550	misery
550	food
549	law
549	age
548	sold
546	fake
545	shoes
545	hour
545	clothes
543	uh
541	lucky
541	dust
541	bite
539	pieces
539	gold
537	angel
536	needed
536	leaves
533	warm
533	falls
532	worry
532	drown
531	ran
529	corner
529	beyond
528	quite
528	middle
526	instead
526	disease
525	funny
524	suck
524	flesh
524	dad
518	whatever
517	teeth
516	yo
515	share
515	green
515	dumb
514	nation
513	crash
512	everybody's
511	secret
511	feed
510	mirror
509	'til
509	bet
508	spit
508	bottle
507	sounds
506	fix
506	battle
505	knowing
505	ho
505	ghost
504	dancing
504	closer
504	answers
503	mistake
503	cares
502	woman
502	steal
501	smell
501	she'll
501	position
501	drugs
501	asked
500	sleeping
500	oi
497	taught
497	guns
497	burned
496	faster
495	deal
494	rage
493	da
492	short
492	brother
491	repeat
491	killed
490	scars
490	harder
487	listening
486	ears
485	everything's
484	twist
481	brand
480	figure
479	generation
477	surprise
476	hours
476	cover
475	fact
473	police
473	lived
472	style
472	quit
471	shadows
471	message
471	fault
470	fingers
470	drinking
469	thank
467	played
467	case
466	burns
466	book
465	greed
464	shall
464	final
463	forgive
463	fallen
461	seeing
461	nothin'
461	johnny
461	he'll
461	deny
461	bye
461	bleeding
459	week
459	tongue
459	asleep
458	difference
458	bought
457	passed
457	beneath
456	voices
455	return
454	ocean
453	brought
452	crawl
451	anger
451	3
450	crack
450	bang
450	asking
450	angels
449	supposed
448	welcome
448	twice
448	queen
448	bar
447	glad
447	bury
446	hoping
443	tough
443	ship
443	buried
443	bound
442	below
441	fist
440	wife
438	likes
438	bored
437	noise
435	cheap
434	minute
434	darling
434	c'mon
434	anywhere
433	drag
433	anybody
432	loves
432	laughing
431	wrote
431	riot
431	promises
431	dress
431	aren't
429	wave
429	person
429	ignore
429	dreaming
428	skies
428	girlfriend
427	record
427	paid
427	bottom
427	bitter
426	seven
425	2
424	tree
424	souls
424	none
424	innocent
422	missing
421	cars
421	beauty
421	angry
418	loose
418	force
418	endless
418	character
417	sand
417	rights
417	quick
417	daddy
416	quiet
416	places
416	neck
415	bone
414	underneath
414	torn
412	wash
412	clouds
412	attack
411	poison
411	keeping
411	hungry
410	flames
409	nightmare
409	bloody
408	special
408	explain
405	watched
405	passing
405	legs
404	lied
404	guys
404	forgotten
404	calls
403	woke
403	destruction
402	dig
401	underground
401	government
401	flag
400	trip
400	later
400	guitar
400	fat
399	wondering
399	nothing's
397	knock
396	stole
396	ashes
395	driving
395	blues
394	thinks
394	shows
393	gives
392	wine
391	sorrow
391	river
391	forward
390	women
390	warning
390	trash
390	stood
390	deserve
389	'round
389	plans
389	lock
389	fears
388	rule
388	glory
388	dirt
388	breaks
387	storm
387	sink
386	range128
386	ordinal
386	error:
386	encode
386	codec
386	'ascii'
385	won
385	dare
384	trapped
384	lady
383	wings
383	view
383	test
383	tall
383	lets
381	swing
380	questions
379	runs
379	rip
379	fools
378	reasons
378	justice
378	bullshit
378	box
378	'bout
377	refuse
377	games
377	everyone's
377	desire
377	breathing
376	woah
376	planet
376	instrumental
376	decide
375	sunday
375	doll
373	vision
373	laid
372	struggle
372	mama
372	join
372	heat
372	accept
371	world's
371	starting
371	meaning
371	east
371	cops
371	beating
370	swallow
370	lookin'
370	bodies
369	sister
369	remain
369	kinda
369	key
369	grace
366	treat
366	throat
366	sucks
366	pressure
365	missed
364	older
364	hero
364	brings
363	probably
363	flow
362	shining
362	fair
361	tied
361	ball
360	direction
360	destiny
360	clock
359	thin
359	dawn
358	suicide
357	attention
356	twisted
356	store
356	modern
356	midnight
356	changing
355	ending
354	where's
354	trees
354	track
354	saturday
353	x4
353	surrender
353	paper
352	fail
351	stories
351	grab
350	choke
350	action
349	seemed
348	pulled
348	hundred
347	smash
347	guilty
347	forgot
347	chains
345	monster
344	grown
343	arm
342	pack
342	joke
342	cried
341	chest
340	shadow
340	liar
340	christ
339	heavy
339	favorite
338	silent
338	o
338	expect
338	dies
338	course
338	business
337	flame
337	doors
336	parents
336	closed
336	brothers
335	suffer
335	sinking
335	pure
335	onto
335	hatred
335	cries
334	mercy
334	fed
334	enemies
334	cure
333	sent
333	saved
333	lover
332	west
332	moves
331	beach
330	sweat
330	happiness
329	teach
329	sacrifice
329	monkey
329	judge
328	york
328	nose
328	early
328	dick
328	common
328	bullet
327	wearing
327	threw
327	search
327	naked
327	exist
327	brown
326	suffering
326	cash
325	victim
325	stranger
325	coffee
325	california
324	snow
324	lack
323	pushing
322	teenage
321	waves
321	tryin'
321	spirit
321	social
321	ignorance
321	forced
321	distance
321	confused
320	waited
320	veins
320	seat
320	score
320	rising
320	cast
320	bother
319	wishing
319	golden
319	climb
318	regrets
318	dressed
317	disappear
317	cat
317	admit
316	smart
316	finger
316	fading
316	ear
316	bus
315	silver
315	loving
314	super
314	hopes
313	army
312	begins
311	shoulder
310	stuff
310	speed
310	signs
309	spread
309	something's
309	cost
308	thanks
307	spin
307	screen
307	brains
307	block
306	motherfucker
306	kills
306	changes
305	names
305	matters
305	false
305	boots
304	stronger
304	revenge
304	religion
304	freak
304	1
303	punks
303	pictures
302	written
302	loss
302	beginning
301	thrown
301	mountain
301	lesson
301	bridge
300	numb
300	bigger
299	lust
299	ill
299	beg
298	unknown
298	lungs
298	happens
298	drug
298	double
296	sins
295	spinning
295	master
294	4
293	whose
293	waking
293	resist
293	disguise
293	crashing
293	color
292	plastic
292	ice
292	guts
292	dollar
291	violent
291	except
290	stops
290	steady
290	stage
290	shouldn't
290	joy
290	drowning
289	strike
289	lots
289	higher
289	hiding
289	excuse
289	curse
289	beats
288	situation
288	grows
288	comfort
288	circle
288	aside
287	flying
287	begun
287	authority
286	solution
286	hits
285	slave
285	livin'
285	exactly
285	bombs
284	letting
284	d
283	stayed
282	stopped
282	nine
282	mr
282	desperate
282	babe
281	steps
281	pants
280	unless
280	themselves
280	steel
280	rolling
280	doctor
279	demons
279	confusion
279	company
279	boring
278	weren't
278	promised
278	mark
277	rot
277	headed
276	settle
276	paint
276	page
276	hollow
275	wheel
274	secrets
274	remains
274	letter
273	gray
273	gettin'
273	crush
272	writing
272	notice
272	man's
271	stab
271	selling
271	screams
271	pushed
271	mission
270	x3
270	tune
270	gain
270	club
270	building
270	barely
269	they'd
269	john
269	grey
269	easier
269	candy
268	weird
268	blast
268	abuse
267	fought
266	shed
266	explode
266	bend
266	ba
265	moved
265	ideas
265	form
265	fantasy
265	defeat
265	damage
265	create
265	believed
264	doin'
264	bow
263	wipe
263	threat
263	rebel
263	hill
263	foot
262	conscience
261	chorus
260	talkin'
260	seek
260	eating
260	chain
260	bringing
259	tells
259	covered
258	rose
258	plain
258	failure
258	couple
257	y'all
257	huh
257	holds
257	heroes
257	finding
256	tearing
256	danger
256	cruel
255	&
254	rape
254	pocket
254	meat
254	hip
254	claim
253	soft
253	sees
253	disaster
253	crew
253	beside
253	attitude
253	asshole
253	acting
252	gas
252	counting
252	begging
252	bear
251	wicked
251	pity
251	numbers
251	bars
250	stands
250	mental
249	rat
249	clue
248	selfish
248	riding
248	madness
247	whore
247	tie
247	praise
247	pop
247	cup
246	winter
246	smiling
246	pulling
246	pissed
246	minutes
246	lovely
246	jail
246	heal
246	fucker
245	yellow
245	unity
245	spell
245	erase
245	bag
244	wounds
244	piss
244	magic
243	tragedy
243	raised
